# Generated from Radheef (radheef.siyamex.com) by scripts/build_thesaurus.py — do not edit by hand.
# format: word <TAB> synonym:corpus_count|synonym:count...
ހިރިފޫލަ	ހިރިކުއްޅަ:0
ހިރިދަތި	އިސްކު:0
ހިރިގަނޑަ	ހިރުގަނޑު:28
ހިރިގަނޑޮ	ހިރުގަނޑު:28
ހިރިގައު	ހިރިގާ:4
ހިރިގާ	ހިރިގައު:0
ހިރިޔާ	އަރިސް:6
ހިރު	ހިރި:2|ހިރެ:0|ދަފޮޅު:0
ހިރުނދު	ހުރަނދި:0|ހުރެނދި:0
ހިރުނދުދޫނި	ހިރުނދުގޮވި:0|ހުރެނދިދީނި:0|ހުރެދިދޫނި:0|ދޮންކޮކޮޑި:0
ހިރުނދުގޮވި	ހިރުނދުދޫނި:0
ހިރުކޭތަލަ	އިރުކޭތަލަ:0
ހިރުއްދަ	ކެވެރިޔާ:0
ހިރުއްދަފިލާ	ހިރުމާރު:0
ހިރުއްދާ	ރަސްގެފާނު:327
ހިރުމަހުރަ	ހިރުފިލާ:0
ހިރުމާރު	ހިރުއްދަފިލާ:0
ހިރުމޮއި	މޯހިރު:0
ހިރުފިލާ	ހިރުމަހުރަ:0
ހިރުގަނޑު	ހިރަގަނޑަ:0|ހިރާނޑާ:0|ހިރިގަނޑަ:0|ހިރިގަނޑޮ:0
ހިރެ	ހިރު:0
ހިބަބޮލާ	ފުށްކިބަ:0
ހިބަކޮށްދިނުން	ހިބައިންދިނުން:0
ހިބައިންދިނުން	ހިބަކޮށްދިނުން:0
ހިބޮށި	ހިނބޮށި:0
ހިޅު	ހުޅަތް:0
ހިޅުމަސް	ހިނގަމަސް:0
ހިކަނދަފަތް	ހިކަނދިފަތް:7
ހިކަނދަތުންމިއަރަ	ހިކަނދިތުންމިޔަރު:0
ހިކަނދާ	ހިކަނދި:5
ހިކަނދި	ހިކަނދާ:0|ހިކަނދޮ:0|ހިކަންދާ:0
ހިކަނދިމަސްގަނޑު	މީދާމަސްގަނޑު:0
ހިކަނދިމިޔަރު	ހިކަނދިތުންމިޔަރު:0
ހިކަނދިފަތް	ހިކަނދަފަތް:0|ރިހަފަތް:0
ހިކަނދިތުންމިޔަރު	ހިކަނދަތުންމިއަރަ:0|ހިކަނދިމިޔަރު:0|ހިކަދޮތުންމޭރެ:0
ހިކަނދިގަސް	ރިހަގަސް:0
ހިކަނދޮ	ހިކަނދި:5
ހިކަންދާ	ހިކަނދި:5
ހިކަކިއުން	ހިކަކުޅުން:0
ހިކަކުޅުން	ހިކަކިއުން:0
ހިކަދޮތުންމޭރެ	ހިކަނދިތުންމިޔަރު:0
ހިކާދުރުކުރި	އޮއިކާލި:0
ހިކި	އަނަރޫފަ:0|ވަނަޅި:0|ވިނަޅި:0
ހިކިބައްޑާއެޅުން	ހިކިއެޅުން:0
ހިކިބިންނެގުން	ހިކިއެޅުން:0
ހިކިކަށިކަން	އަނަރޫފަކަން:0
ހިކިކަން	އަނަރޫފަކަން:0
ހިކިކައިށި	ހިކިކާށި:0
ހިކިކަޑިގޮވުން	ހިކިއެޅުން:0
ހިކިކާށި	ހިކިކައިށި:0
ހިކިއެޅުން	ހިކިބައްޑާއެޅުން:0|ހިކިބިންނެގުން:0|ހިކިކަޑިގޮވުން:0|ހިކިތަރައެޑުން:0|ހިކީތަރައެޑުން:0
ހިކިވިނަ	ހަޝިޝް:0
ހިކިފަސްތަން	ރަށް:151
ހިކިތަރައެޑުން	ހިކިއެޅުން:0
ހިކީތަރައެޑުން	ހިކިއެޅުން:0
ހިކުން	އަނަރޫފަވުން:2|ފޫޅުހިކުން:0
ހިއަ	ހިތް:171
ހިއަނި	ހިޔަނި:27
ހިއަޅު	ހިޔަޅު:3
ހިއަމަ	ހިޔަމަ:2
ހިއަމަކުކުޅު	އިދިކުކުޅު:0
ހިއަމެދު	ހިތް:171
ހިއާވަހި	ހިޔާވަހި:2
ހިއާވަހިކަން	ހިޔާވަހިކަން:5
ހިއްމަތް	ހިންމަތް:0
ހިއްމަތްކުރުން	ހިންމަތްކުރުން:0
ހިއްފަސޭހަކަން	ހިތްއަލިކަން:0
ހިއްތަނބެ	ހިއްތަން:1
ހިއްތަން	ހިއްތަނބެ:0|ހިތްތަބަ:0|ސަތިންތަރި:0
ހިއްތުން	ހިތަހިތަފެއިދިނުން:0
ހިއްޕާމަހަ	އައްޓަމަސް:19
ހިއްޗަށްދިއުން	ހިއްޗަށްގެއުން:0
ހިއްޗަށްގެއުން	ހިއްޗަށްދިއުން:0
ހިވަޅަ	ހިޔަޅު:3
ހިވި	އަގު:68
ހިވިކަނދު	ދަށްބަނޑު:1
ހިވިކައި	ހަށި:36
ހިވިއަގު	ލޯލި:6
ހިވިގެ	ފޭލިގެ:1
ހިމަ	ހެމަ:0|ހެމި:0
